,economy,time,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.LOSS.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNWX.ZS,EN.ATM.GHGT.KT.CE,EN.ATM.METH.KT.CE,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,SP.DYN.LE00.FE.IN,SP.DYN.TFRT.IN,SP.POP.TOTL,SP.URB.TOTL,year,gdp_per_capita,ghge_per_capita,c2e_per_capita,urb_pop_pct
235,AGO,YR2001,20.0,0.0,37.9120879120879,62.0879120879121,14.5299145299145,0.0,0.0,37.9120879120879,0.0,51730.0,24240.0,75.38894373114,74.946850958953,8.15637702246655,3.87310081436431,64.8838115415289,26.9598114360045,8936063723.20121,49.317,6.601,16945753.0,8688765.0,2001,527.3335285366906,0.0030526822856440784,0.0014304469090278844,51.27399767953658
236,AGO,YR2002,26.3838691711426,0.0,35.2407932011331,64.7592067988669,14.6175637393768,0.0,0.0,35.2407932011331,0.0,55610.0,26220.0,57.0849959046266,48.2167466955221,5.8395499748266,3.66182566484066,56.0757965388459,37.9075789655613,15285594828.418,50.005,6.567,17519418.0,9190862.0,2002,872.4944417912741,0.0031741922020468946,0.0014966250591201145,52.46100070219227
237,AGO,YR2003,27.4656352996826,0.0,37.7944862155388,62.2055137844612,12.9323308270677,0.0,0.0,37.7944862155388,0.0,65370.0,29280.0,54.3213373807344,49.5798894342136,6.19838433868839,3.9998144235304,53.1169963887799,41.1829863790656,17812705294.325,50.789,6.533,18121477.0,9721266.0,2003,982.9610077768496,0.003607321853511168,0.0016157623354873336,53.644998142259595
238,AGO,YR2004,28.5367603302002,0.0,21.594982078853,78.405017921147,26.4336917562724,0.0,0.0,21.594982078853,0.0,67740.0,30260.0,58.3803455316586,45.1995788304369,6.25087653552132,4.68193728311966,54.6299213113549,40.347464274602,23552052407.5488,51.661,6.499,18758138.0,10284524.0,2004,1255.5645132554628,0.00361123262873959,0.0016131665093838206,54.826998287356666
239,AGO,YR2005,29.5962238311768,0.0,20.3517587939699,79.6482412060301,23.7616654702082,0.0,0.0,20.3517587939699,0.0,67230.0,31110.0,65.5262677696291,41.0646943598961,5.06040294790886,3.91288354903499,60.4019934569532,35.5267258263529,36970918699.2523,52.614,6.461,19433604.0,10882818.0,2005,1902.4221497593703,0.003459471542180236,0.0016008353365644377,55.99999876502578
240,AGO,YR2006,30.6465549468994,0.0,19.3889897156685,80.6110102843315,11.7967332123412,0.0,0.0,19.3889897156685,0.0,68080.0,31180.0,63.4678635039226,31.1572958281252,5.19128018876127,3.61281577438344,58.109331166465,37.1568468383723,52381006892.038,53.642,6.419,20149905.0,11437892.0,2006,2599.565947930673,0.0033786759788693795,0.0015474018363858292,56.76399963176005
241,AGO,YR2007,37.5,0.0,22.3811004041032,77.6188995958968,13.3975753807896,0.0,0.0,22.3811004041032,0.0,74850.0,33610.0,67.9057833724671,40.1542845215112,5.24227833734658,3.399491640092,61.8835378515421,34.6118783461354,65266452081.386,54.726,6.372,20905360.0,12025599.0,2007,3121.9960852808085,0.003580421480424159,0.0016077216560728923,57.523998630016415
242,AGO,YR2008,38.49,0.0,24.5909528392685,75.4090471607315,10.009624639076,0.0,0.0,24.5909528392685,0.0,76080.0,34160.0,72.475028472181,48.8896794334592,4.80533931673356,3.46173679106739,60.2548201250717,34.338201603897,88538611205.1433,55.839,6.32,21695636.0,12644651.0,2008,4080.941033724169,0.003506696000983792,0.0015745101918192212,58.282001965740946
243,AGO,YR2009,33.8041839599609,0.0,34.6568109820486,65.3431890179514,10.0105596620908,0.0,0.0,34.6568109820486,0.0,79690.0,35590.0,58.7573030189496,63.6888393251959,6.62119707047771,5.10942178535679,44.0563761691749,48.9906736748373,70307163678.238,56.953,6.26,22514275.0,13291077.0,2009,3122.781598707398,0.003539532141274813,0.0015807748639474289,59.03399954029166
244,AGO,YR2010,34.8797264099121,0.0,32.0425766195632,67.9574233804368,11.5066984767847,0.0,0.0,32.0425766195632,0.0,84120.0,37730.0,61.5431127231538,42.5805172359653,6.18029318057362,4.54177380185367,52.3684348885467,41.8870236648356,83799496611.2004,58.033,6.194,23356247.0,13963065.0,2010,3587.8836446283685,0.0036016060285712853,0.0016154136407274678,59.78299938341978
245,AGO,YR2011,34.6,0.0,29.0921960714918,70.9078039285082,11.2723411785525,0.0,0.0,29.0921960714918,0.0,86040.0,38100.0,60.6699484390186,39.3125594147723,5.84568096888111,4.16780479660129,56.026514743024,39.0758313423906,111789686464.441,59.052,6.12,24220660.0,14660281.0,2011,4615.468218638179,0.003552339201326471,0.0015730372335023076,60.52799964988568
246,AGO,YR2012,37.1010246276855,0.0,39.2005157962605,60.7994842037395,11.2669245647969,0.0,0.0,39.2005157962605,0.0,84930.0,37110.0,55.9401314050624,35.8599672014052,6.06963007473451,4.40328959394631,56.9182197485493,39.6049460938059,128052853643.106,59.992,6.039,25107925.0,15383123.0,2012,5100.097026859288,0.0033825973273378823,0.0014780193902921089,61.267998052407755
247,AGO,YR2013,38.2489929199219,0.0,41.9790652385589,58.0209347614411,11.2706913339825,0.0,0.0,41.9790652385589,0.0,88410.0,37420.0,50.7470843910637,36.0648463922967,6.50749253992601,4.82734281508691,53.3628539821467,42.7849161208976,136709862831.194,60.841,5.953,26015786.0,16130308.0,2013,5254.881126066843,0.0033983213115298533,0.0014383574649637725,62.00200140022677
248,AGO,YR2014,32.0,0.0,46.8248945147679,53.1751054852321,11.2658227848101,0.0,0.0,46.8248945147679,0.0,88980.0,36700.0,44.6950312503076,34.6378962589621,7.5470567791822,4.76307157240238,46.2033255675024,46.8139275295854,145712200312.505,61.591,5.864,26941773.0,16900844.0,2014,5408.411700020819,0.0033026779640671754,0.0013621969125788417,62.73100140811074
281,ALB,YR1996,100.0,0.0,4.27950518221331,95.7204948177867,48.2614510197258,0.0,0.0,4.27950518221331,0.0,7150.0,3950.0,11.6204393760685,33.2749998482171,36.4107030664902,4.85783355160662,17.3736634617993,39.7729052590847,3199642579.96974,75.618,2.507,3168033.0,1250518.0,1996,1009.977667521058,0.002256920934851373,0.001246830446526283,39.473010539978596
282,ALB,YR1997,100.0,0.0,3.82555470543229,96.1744452945677,55.7192042846213,0.0,0.0,3.82555470543229,0.0,6420.0,3750.0,10.1972617518115,35.2283310149598,31.5433425577314,4.58344068034382,18.1095774942395,42.3156573150217,2258515610.08862,75.931,2.422,3148281.0,1260414.0,1997,717.3805673917354,0.0020392080630667973,0.0011911262050623816,40.03499052339991
283,ALB,YR1998,100.0,0.0,3.67978077901742,96.3202192209826,62.4192601291838,0.0,0.0,3.67978077901742,0.0,6670.0,3620.0,11.4671124664384,36.6702827224881,28.7855755984545,4.72390674551572,15.3468920399074,43.9942521784097,2545967253.2416,76.269,2.334,3128530.0,1270214.0,1998,813.7902635555996,0.002131991702173225,0.0011570929478061582,40.60098512720031
284,ALB,YR1999,100.0,0.0,2.67084177564929,97.3291582243507,25.5848222508749,0.0,0.0,2.67084177564929,0.0,7890.0,3690.0,16.841765359846,34.1693357010258,25.9188725068285,4.53242747123246,16.5364476370761,46.8340280983289,3212119044.17089,76.616,2.246,3108778.0,1279853.0,1999,1033.2416930931993,0.0025379747283337697,0.0011869615649621813,41.16900595668137
285,ALB,YR2000,100.0,0.0,3.8509836751779,96.1490163248221,27.2498953537045,0.0,0.0,3.8509836751779,0.0,8220.0,3750.0,20.1153637600108,43.3388742463348,24.5153606554554,4.31787582014082,19.3956456296929,44.3028027650255,3480355188.60063,76.953,2.157,3089027.0,1289391.0,2000,1126.683317627405,0.0026610320984568926,0.00121397449747121,41.74100776717069
286,ALB,YR2001,100.0,0.0,4.6916890080429,95.3083109919571,36.0857908847185,0.0,0.0,4.6916890080429,0.0,8190.0,3690.0,21.3334375486568,45.1576071302733,22.7161967029445,4.09896331132548,21.7356604231714,44.9427837109107,3922099470.97313,77.263,2.068,3060173.0,1298584.0,2001,1281.6593934307407,0.002676319279988419,0.0012058141810936832,42.43498651873603
287,ALB,YR2002,100.0,0.0,6.04601391118245,93.9539860888176,27.5013376136972,0.0,0.0,6.04601391118245,0.0,8820.0,3640.0,20.9456511360868,47.5794801481102,22.0251747817387,4.06656232825904,23.1063954130151,43.7763109553837,4348070165.19261,77.538,1.981,3051010.0,1327220.0,2002,1425.1248488836843,0.002890845982150173,0.0011930475481889604,43.501004585366815
288,ALB,YR2003,100.0,0.0,2.14342948717949,97.8565705128205,28.8862179487179,0.0,0.0,2.14342948717949,0.0,9250.0,3680.0,20.8474513850141,46.1731851587618,21.9782092040588,4.12419102899895,24.0555827571712,41.911498421985,5611492282.86582,77.777,1.897,3039616.0,1354848.0,2003,1846.118813319123,0.003043147555480692,0.0012106792436939403,44.57299869457195
289,ALB,YR2004,100.0,0.0,2.49732429539779,97.5026757046022,11.452015697467,0.0,0.0,2.49732429539779,0.0,9310.0,3590.0,22.2175512676614,44.8295956019039,20.5374568116515,4.17757583468327,24.6655230886557,42.5803439017032,7184681398.5698,77.982,1.821,3026939.0,1381828.0,2004,2373.579843719943,0.0030757144428744682,0.0011860166326443976,45.651002547458006
290,ALB,YR2005,100.0,0.0,1.28605548410803,98.713944515892,11.5377549145692,0.0,0.0,1.28605548410803,0.0,9100.0,3580.0,23.0129901117958,47.8593145289499,18.8452577928801,4.4258664854862,25.0817044962801,43.5545627609599,8052075642.10781,78.165,1.755,3011487.0,1407298.0,2005,2673.787282531125,0.003021763002795629,0.0011887814890119068,46.731000333058056
291,ALB,YR2006,100.0,0.0,1.68356263577118,98.3164373642288,45.0579290369298,0.0,0.0,1.68356263577118,0.0,9000.0,3530.0,25.2095968180952,49.0574975155692,17.7083928445183,4.90497746681668,25.3081868713657,43.5234081910995,8896073938.31407,78.349,1.704,2992547.0,1430886.0,2006,2972.7432646217653,0.0030074715618501565,0.0011795971792590058,47.81498836943914
292,ALB,YR2007,100.0,0.0,2.51748251748252,97.4825174825175,72.9020979020979,0.0,0.0,2.51748251748252,0.0,9050.0,3400.0,28.2478672596633,54.9541941704504,17.1536228021036,5.29684097327248,25.3402998998185,44.6397015037662,10677321490.3807,78.551,1.671,2970017.0,1452398.0,2007,3595.037163215126,0.0030471206057069706,0.001144774592199304,48.902009651796604
293,ALB,YR2008,100.0,0.0,0.0,100.0,38.530418751646,0.0,0.0,0.0,0.0,8790.0,3230.0,25.3024021398457,52.1493004309663,16.8370863775504,4.99776042968658,25.1610202705982,44.6992269329925,12881354103.8398,78.781,1.654,2947314.0,1473392.0,2008,4370.540126990134,0.002982376496023159,0.0010959130923953132,49.99100876255465
294,ALB,YR2009,100.0,0.0,0.0192233756247597,99.9807766243752,23.5870818915802,0.0,0.0,0.0192233756247597,0.0,8850.0,3110.0,25.2407157401832,49.8541244540949,16.7943876651647,5.19757089865359,24.4136512883637,45.3173449300047,12044223352.5413,79.037,1.652,2927519.0,1495260.0,2009,4114.140114049234,0.003023037595998523,0.0010623329857124752,51.076013511782506
295,ALB,YR2010,100.0,0.0,0.0132135306553911,99.9867864693446,12.6585623678647,0.0,0.0,0.0132135306553911,0.0,9130.0,3120.0,27.9794485454508,48.5639609301559,17.9558409109494,5.45211716519719,24.9374670061949,44.0254492415046,11926928505.5231,79.302,1.66,2913021.0,1519519.0,2010,4094.3503344202118,0.0031342032893000083,0.0010710530408122702,52.16299504878269
296,ALB,YR2011,100.0,0.0,1.4077785731329,98.5922214268671,24.9343832020997,0.0,0.0,1.4077785731329,0.0,9630.0,3120.0,29.2415007417055,51.9770478184596,18.2267654155688,5.66188733027302,24.484407516121,44.2563672971517,12890765324.2256,79.554,1.673,2905195.0,1546929.0,2011,4437.142885150773,0.0033147516775982335,0.001073938238224973,53.24699374740766
297,ALB,YR2012,99.9,0.0,0.0,100.0,23.6825396825397,0.0,0.0,0.0,0.0,9240.0,3170.0,28.9374866944749,47.5726873138455,18.7667991750788,4.6144292718837,22.9185139216065,44.9546198966638,12319830252.4768,79.77,1.684,2900401.0,1575788.0,2012,4247.629983742524,0.0031857663819589085,0.0010929523193517034,54.33000471314139
298,ALB,YR2013,100.0,0.0,0.0,100.0,27.9925276620204,0.0,0.0,0.0,0.0,9440.0,3190.0,28.9163537436855,46.9574279195704,19.5651762173868,5.05981081552634,23.061336904157,44.6070047712584,12776217194.7928,79.934,1.69,2895092.0,1603505.0,2013,4413.06086120676,0.003260690851966017,0.001101864811204618,55.38701360785772
299,ALB,YR2014,99.95,0.0,0.0,100.0,23.6875529212532,0.0,0.0,0.0,0.0,9930.0,3230.0,28.2129788388934,47.1948552195373,19.9901536913842,5.32582193180281,21.5088578900509,45.782514890673,13228144008.3428,80.045,1.688,2889104.0,1630119.0,2014,4578.631993982494,0.003437051764145562,0.0011179936755478515,56.422994810847925
439,ARE,YR2001,100.0,0.0,100.0,0.0,7.17594737329751,97.2018901139627,0.0,2.79810988603725,0.0,127370.0,25770.0,49.1592253276122,40.7053546013305,2.23820016235649,13.3137591852656,49.6763412859899,48.0854585516536,103311640571.818,75.961,2.533,3302722.0,2663810.0,2001,31280.75586495563,0.03856515928376654,0.0078026549010180085,80.65498700768639
440,ARE,YR2002,100.0,0.0,100.0,0.0,7.1751750042684,97.2362130783678,0.0,2.76378692163223,0.0,131600.0,27970.0,49.5033473840813,43.5683114306968,2.20332258864369,13.0634763203571,47.5457475824448,50.2509298289115,109816201497.617,76.187,2.432,3478769.0,2820134.0,2002,31567.546306643817,0.03782947358677739,0.008040200427220088,81.06700962323167
441,ARE,YR2003,100.0,0.0,100.0,0.0,7.17492416582406,97.2558139534884,0.0,2.74418604651163,0.0,139310.0,30160.0,55.9231992151745,46.3769702756087,1.92768393253654,12.2624610762446,49.1210129154604,48.951303152003,124346358066.712,76.406,2.337,3711931.0,3024184.0,2003,33499.102776078544,0.03753033124807546,0.00812515103324927,81.47198856875303
442,ARE,YR2004,100.0,0.0,100.0,0.0,7.17515309918538,97.6648797145964,0.0,2.33512028540359,0.0,148020.0,32330.0,63.5677298138648,53.0548827099662,1.66536190905993,11.5123829171924,51.6783480847693,46.6562900061707,147824370319.946,76.616,2.247,4068577.0,3330985.0,2004,36333.18733305183,0.03638127040486146,0.00794626720841218,81.87100797158318
443,ARE,YR2005,100.0,0.0,100.0,0.0,7.17486572868958,97.8648390391776,0.0,2.13516096082243,0.0,156700.0,34590.0,67.5853113898841,51.9675602523703,1.39540987408529,10.608039735308,55.6434763024807,42.9608649080015,180617467964.602,76.818,2.161,4588222.0,3774363.0,2005,39365.45964092452,0.03415266305771604,0.0075388679972329155,82.26199604116802
444,ARE,YR2006,100.0,0.0,100.0,0.0,7.17559309849029,97.9675892643182,0.0,2.03241073568176,0.0,162950.0,35390.0,68.6277976715135,50.8428719062721,1.09424400194674,9.65695462798033,57.903111718071,41.0026442799823,222116541865.214,77.014,2.081,5300172.0,4380486.0,2006,41907.42146957004,0.030744285279798465,0.006677141798417108,82.64799708386822
