economy,time,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.LOSS.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNWX.ZS,EN.ATM.GHGT.KT.CE,EN.ATM.METH.KT.CE,IC.LGL.CRED.XQ,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,SI.POV.GINI,SI.POV.MDIM,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SP.DYN.LE00.FE.IN,SP.DYN.TFRT.IN,SP.POP.TOTL,SP.URB.TOTL
ABW,YR1970,,,,,,,,,,42.3062976,10.2469,,,,,,,,,,,,,71.306,2.908,59070.0,29904.0
ABW,YR1971,,,,,,,,,,42.7869478,10.4531,,,,,,,,,,,,,71.815,2.788,59442.0,30083.0
ABW,YR1972,,,,,,,,,,43.2866131,10.657,,,,,,,,,,,,,72.313,2.691,59849.0,30279.0
ABW,YR1973,,,,,,,,,,43.7245901,10.8551,,,,,,,,,,,,,72.779,2.613,60236.0,30466.0
ABW,YR1974,,,,,,,,,,44.130957,11.0415,,,,,,,,,,,,,73.204,2.552,60527.0,30604.0
ABW,YR1975,,,,,,,,,,44.4819076,11.2194,,,,,,,,,,,,,73.579,2.506,60653.0,30659.0
ABW,YR1976,,,,,,,,,,131.6337457,11.5069,,,,,,,,,,,,,73.902,2.472,60586.0,30615.0
ABW,YR1977,,,,,,,,,,135.0553194,11.6718,,,,,,,,,,,,,74.183,2.446,60366.0,30495.0
ABW,YR1978,,,,,,,,,,358.990001,12.2338,,,,,,,,,,,,,74.43,2.425,60102.0,30353.0
ABW,YR1979,,,,,,,,,,409.505485,12.4857,,,,,,,,,,,,,74.647,2.408,59972.0,30278.0
ABW,YR1980,,,,,,,,,,424.783771,12.6755,,,,,,,,,,,,,74.839,2.392,60097.0,30332.0
ABW,YR1981,,,,,,,,,,519.001013,12.937,,,,,,,,,,,,,75.01,2.377,60561.0,30557.0
ABW,YR1982,,,,,,,,,,564.023574,13.182,,,,,,,,,,,,,75.164,2.364,61341.0,30941.0
ABW,YR1983,,,,,,,,,,530.385687,13.3622,,,,,,,,,,,,,75.305,2.353,62213.0,31372.0
ABW,YR1984,,,,,,,,,,571.038292,13.6488,,,,,,,,,,,,,75.436,2.342,62826.0,31671.0
ABW,YR1985,,,,,,,,,,642.147964,13.9676,,,,,,,,,,,,,75.556,2.332,63024.0,31761.0
ABW,YR1986,,,,,,,,,,435.85886,13.8472,,,,,,,,405463417.11746,,,,,75.663,2.32,62645.0,31561.0
ABW,YR1987,,,,,,,,,,616.928696,14.3017,,,,,,,,487602457.746416,,,,,75.754,2.307,61838.0,31145.0
ABW,YR1988,,,,,,,,,,,14.5499,,,,,,,,596423607.114715,,,,,75.827,2.291,61072.0,30750.0
ABW,YR1989,,,,,,,,,,,14.8981,,,,,,,,695304363.031101,,,,,75.886,2.272,61033.0,30721.0
ABW,YR1990,100.0,,,,,,,,,,,,,,,,,,764887117.194486,,,,,75.932,2.249,62152.0,31274.0
ABW,YR1991,99.1536560058594,,,,,,,,,,,,,,,,,,872138715.083799,,,,,75.969,2.221,64623.0,32508.0
ABW,YR1992,99.1971282958984,,,,,,,,,,,,,,,,,,958463184.357542,,,,,76.002,2.187,68240.0,34119.0
ABW,YR1993,99.2399139404297,,,,,,,,,,,,,,,,,,1082979720.67039,,,,,76.033,2.149,72495.0,35949.0
ABW,YR1994,100.0,,,,,,,,,,,,,,,,,,1245688268.15642,,,,,76.066,2.108,76705.0,37721.0
ABW,YR1995,100.0,,,,,,,,,,,,84.9110485901043,86.4764241744759,0.505997080786072,2.51813931842701,15.3986419309119,81.0483785670467,1320474860.3352,,,,,76.1,2.064,80324.0,39172.0
ABW,YR1996,100.0,,,,,,,,,,,,86.6351163703935,88.699785031557,0.485804390862019,2.5099893527871,14.9866606211009,80.9710420099347,1379960893.85475,,,,,76.133,2.021,83211.0,40238.0
ABW,YR1997,100.0,,,,,,,,,,,,82.5255818363492,86.245250129459,0.429949893880052,2.47686147517668,17.1327192233916,79.5830324778096,1531944134.07821,,,,,76.164,1.978,85450.0,40970.0
ABW,YR1998,100.0,,,,,,,,,,,,79.6502635437322,83.6428420448712,0.407981130872697,2.79446943999893,17.5136636772655,79.4784820149437,1665100558.65922,,,,,76.192,1.939,87280.0,41489.0
ABW,YR1999,100.0,,,,,,,,,,,,79.9335886452149,84.6355644478745,0.383292096465087,3.59944354548432,15.549271842299,80.8603642896287,1722798882.68156,,,,,76.221,1.903,89009.0,41947.0
ABW,YR2000,91.6603980031457,,,,,,,,,,,,74.4003244390901,70.6728532748071,0.410021828071138,3.92219425790522,15.8253515750802,67.6377971540012,1873452513.96648,,,,,76.257,1.872,90866.0,42450.0
ABW,YR2001,100.0,,,,,,,,,,,,70.4975269130055,68.5481524585394,0.405149839976724,3.8559790514984,15.9113471050335,69.680680826302,1920111731.84358,,,,,76.307,1.846,92892.0,43045.0
